id,name_en,bbx,caption_cn,caption_en,class_cn,class_en,retrieval_class_cn,retrieval_class_en,picture,scaling_strategy,inner_placement,portfolio_assets,source,author_name,author_link,license,state,alignToWallNormal
678,3_Chair2,"0.821,0.796,1.233",深灰色布艺面料办公椅，带五轮底座,A dark gray office chair with fabric upholstery and five-wheel base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/6658d619-fe4b-462e-80cb-89a4c052baac,SilverTm,https://www.fab.com/zh-cn/sellers/SilverTm,CC BY-NC-SA 4.0,,
679,3_Chair3,"0.821,0.781,1.295",灰色高靠背带扶手滚轮办公椅,A gray high-back office chair with armrests and wheeled base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/6658d619-fe4b-462e-80cb-89a4c052baac,SilverTm,https://www.fab.com/zh-cn/sellers/SilverTm,CC BY-NC-SA 4.0,,
955,5_SM_Chair_A,"0.788,0.783,1.200","灰色簇绒高靠背办公椅,带扶手和滚轮底座",Gray tufted high-back office chair with armrests and wheeled base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/119b5176-cce4-4965-b5b2-2c159377b44a,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
956,5_SM_Chair_B,"0.638,0.614,0.971","灰色布艺办公椅,带可调扶手和五轮底座",A gray fabric office chair with adjustable armrests and five-wheel base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,https://www.fab.com/zh-cn/listings/119b5176-cce4-4965-b5b2-2c159377b44a,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1566,a_SM_OfficeChair_01a,"0.636,0.659,1.015",深灰色织物办公椅，黑色五轮底座，无扶手,"A simple dark gray fabric office chair with black five-wheel base, no armrests",办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,1.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
1567,a_SM_OfficeChair02a,"0.825,0.784,1.247",黑色高背办公椅，带软垫扶手和五星轮底座,A black high-back office chair with padded armrests and five-star wheeled base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
1890,b_36,"0.815,0.807,0.781",黑色皮质四脚金属底座旋转椅,Modern black leather swivel chair with four-leg metal base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,0.0,3D Future Dataset,3D Future Dataset,https://tianchi.aliyun.com/dataset/98063,CC BY-NC-SA 4.0,,
2019,e_conference_1_27,"0.615,0.615,1.154",深棕色高背办公椅，带扶手和银色四星底座,A dark brown high-back office chair with armrests and silver four-star base,办公椅,Office_chair,凳椅沙发,Stool_chair_or_sofa,,ISOTROPIC,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
753,43_filebox01,"0.299,0.459,0.246",带盖和椭圆把手的棕色硬纸板储物箱,Brown cardboard storage box with lid and oval handles,办公纸箱,Office_cardboard_box,箱子,Box,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/ecebfafc-f6cb-49a0-b9ec-5b83aded5efb,Dekogon Studios,https://www.fab.com/zh-cn/sellers/Dekogon%20Studios,CC BY-NC-SA 4.0,,
754,43_filebox03,"0.363,0.533,0.254",带盖和标签框的灰色硬纸板收纳盒,Gray cardboard storage box with lid and label holder,办公纸箱,Office_cardboard_box,箱子,Box,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/ecebfafc-f6cb-49a0-b9ec-5b83aded5efb,Dekogon Studios,https://www.fab.com/zh-cn/sellers/Dekogon%20Studios,CC BY-NC-SA 4.0,,
1448,a_SM_FilingBox_01b,"0.469,0.338,0.249",带回收标志和蓝色标签区域的棕色办公纸箱,A brown cardboard office box with recycling symbol and blue label area,办公纸箱,Office_cardboard_box,箱子,Box,,ALIGNED_ANISOTROPIC,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
1577,a_SM_PaperBoxes_01a,"0.501,0.320,0.263",蓝灰色纸板储物盒，印有Bassett House System品牌标识,A blue and gray cardboard storage box with Bassett House System branding,办公纸箱,Office_cardboard_box,箱子,Box,,ALIGNED_ANISOTROPIC,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
1449,a_SM_FilingBox_01c,"0.502,0.349,0.074",长方形棕色纸板箱盖，表面磨损哑光质感,A rectangular brown cardboard box lid with weathered matte texture,办公纸箱盖,Office_cardboard_box_lid,盒子,Box,,ALIGNED_ANISOTROPIC,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
182,0_SM_Desk_thr001,"1.442,0.510,0.726","白色新古典主义办公桌,配黑色凹槽立柱和金色装饰",White neoclassical desk with black fluted columns and gold accents,办公桌,Office_desk,桌子,Table,,ALIGNED_ANISOTROPIC,0,0.0,商品下架，但作者已同意,CityColor（黄烨）,CityColor（黄烨）,CC BY-NC-SA 4.0,,
1425,a_SM_desk_compiled,"2.500,0.850,0.845",深棕色木质双边抽屉式长办公桌,Long brown wooden executive desk with dual drawer pedestals,办公桌,Office_desk,桌子,Table,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/listings/0c106ab4-e1cd-40c2-8731-b7940e52b4b6,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1456,a_SM_FoldingTable_01a,"1.886,0.806,0.736",极简黑色办公桌，纤薄桌面配斜角金属支架腿,A minimalist black office desk with slim tabletop and angular metal trestle legs,办公桌,Office_desk,桌子,Table,,ALIGNED_ANISOTROPIC,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
1707,a_SM_table,"2.354,1.003,1.077",深绿色金属框架搭配做旧木质桌面的大型工业风办公桌,A large industrial-style office desk with dark green metal frame and weathered wooden top,办公桌,Office_desk,桌子,Table,,ALIGNED_ANISOTROPIC,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
1999,d_1000008596887,"1.825,0.804,0.731",深胡桃木色L型办公桌配金属支撑腿,Dark walnut L-shaped office desk with metal support leg,办公桌,Office_desk,桌子,Table,,ALIGNED_ANISOTROPIC,0,0.0,Imaginarium Group,Imaginarium Group,https://ydove0324.github.io/Imaginarium/,CC BY-NC-SA 4.0,,
13,0_baseball_01_2k_packed,"0.074,0.075,0.075",带红色缝线的白色棒球,A white baseball with red stitching seams,棒球,Baseball,运动器材,Sports_equipment,,ISOTROPIC,0,0.0,https://polyhaven.com/a/baseball_01,Rico Cilliers,https://polyhaven.com/all?a=Rico%20Cilliers,CC BY-NC-SA 4.0,,
14,0_baseball_bat_2k_packed,"0.913,0.064,0.064",手柄缠绕黑色握把胶带的木质棒球棒,A wooden baseball bat with black grip tape wrapped around the handle,棒球棒,Baseball_bat,运动器材,Sports_equipment,,RADIAL,0,0.0,https://polyhaven.com/a/baseball_bat,Enrique Martín,https://polyhaven.com/all?a=Enrique%20Mart%C3%ADn,CC BY-NC-SA 4.0,,
540,21_SM_PC_01t,"0.114,0.191,0.107",带白色标签和圆形扣件的深灰色翻盖包装盒,A dark gray hinged packaging box with white label and circular fasteners,包装盒,Packaging_box,盒子,Box,,ISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/c657df25-2ce6-4a62-a147-58778e3085ac,Dekogon Studios,https://www.fab.com/zh-cn/sellers/Dekogon%20Studios,CC BY-NC-SA 4.0,,
603,23_SM_Light_Xmas_NN_01a,"0.482,0.303,0.072","红色圣诞灯饰包装盒,印有彩色灯泡图案",Red Christmas lights packaging box with colorful bulb illustrations,包装盒,Packaging_box,盒子,Box,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/43965ec3-e403-4c70-91a2-8f60b336920f,Dekogon Studios,https://www.fab.com/zh-cn/sellers/Dekogon%20Studios,CC BY-NC-SA 4.0,,
1350,a_SM_cardboards_15,"0.169,0.110,0.102",印有AUTOPART字样的绿色纸板包装盒,Green cardboard box with 'AUTOPART' text printed on sides,包装盒,Packaging_box,盒子,Box,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/listings/0c106ab4-e1cd-40c2-8731-b7940e52b4b6,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1351,a_SM_cardboards_16,"0.120,0.120,0.154",印有红灰渐变色和'FAST ENGINE'标识的立方体包装盒,Small cubic packaging box with red and gray gradient design and 'FAST ENGINE' branding,包装盒,Packaging_box,盒子,Box,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/listings/0c106ab4-e1cd-40c2-8731-b7940e52b4b6,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1352,a_SM_cardboards_17,"0.570,0.082,0.068",印有蓝黄色GEYI标识的长方形纸质包装盒,Long rectangular cardboard box with blue and yellow GEYI branding,包装盒,Packaging_box,盒子,Box,,ALIGNED_ANISOTROPIC,0,0.0,https://www.fab.com/listings/0c106ab4-e1cd-40c2-8731-b7940e52b4b6,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
320,11_SM_ColaCan_02,"0.053,0.050,0.067",褐色纸质压扁果汁包装盒印有'鲜橙'字样,Crushed brown paper juice container with 'FRESH ORANGES' text,包装垃圾,Packaging_Waste,垃圾,Trash,,SORTED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/c378af24-5f24-48a1-8d60-290f2cd8529f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
327,11_SM_FoodBox_04,"0.364,0.200,0.200",带珊瑚橙色装饰条的白色外观开口纸盒,An open cardboard box with white exterior and coral-orange accent band,包装垃圾,Packaging_Waste,垃圾,Trash,,SORTED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/c378af24-5f24-48a1-8d60-290f2cd8529f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
329,11_SM_FoodBox_07,"0.508,0.557,0.479","白色硬纸板披萨盒,盒盖印有披萨图案",White cardboard pizza box with illustrated pizza graphics on lid,包装垃圾,Packaging_Waste,垃圾,Trash,,SORTED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/c378af24-5f24-48a1-8d60-290f2cd8529f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
330,11_SM_FoodBox_08,"0.508,0.557,0.102",灰色硬纸板披萨盒，顶部印有披萨配料插图,A gray cardboard pizza box with illustrated pizza topping design on top,包装垃圾,Packaging_Waste,垃圾,Trash,,SORTED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/c378af24-5f24-48a1-8d60-290f2cd8529f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
380,14_SM_Cardboards_Box_11,"0.389,0.074,0.353",红绿方格图案的扁平披萨纸盒,A flat pizza box with checkered red and green pattern on cardboard,包装垃圾,Packaging_Waste,垃圾,Trash,,SORTED_ANISOTROPIC,0,0.0,https://www.fab.com/zh-cn/listings/a104cf32-37fe-446f-ac75-cf468d11572a,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1058,8_SM_small_props_can03,"0.049,0.049,0.087",带白色竖排文字的珊瑚红色铝制汽水罐,A coral red aluminum soda can with white vertical text,包装垃圾,Packaging_Waste,垃圾,Trash,,RADIAL,0,0.0,https://www.fab.com/zh-cn/listings/ea1058b0-0a6e-4bff-a206-583c8f18b89f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1059,8_SM_small_props_can04,"0.049,0.049,0.127",白色铝制啤酒罐,A white aluminum beer can with text,包装垃圾,Packaging_Waste,垃圾,Trash,,RADIAL,0,0.0,https://www.fab.com/zh-cn/listings/ea1058b0-0a6e-4bff-a206-583c8f18b89f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1061,8_SM_small_props_debris_can_02,"0.057,0.053,0.051",蓝色圆柱形金属罐，白色盖子，带部分文字标识,A blue cylindrical tin can with white lid and partial text branding,包装垃圾,Packaging_Waste,垃圾,Trash,,RADIAL,0,0.0,https://www.fab.com/zh-cn/listings/ea1058b0-0a6e-4bff-a206-583c8f18b89f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1062,8_SM_small_props_debris_can_04,"0.081,0.052,0.051",印有灰色文字品牌标识的白色圆柱形容器,A white cylindrical container with gray text branding,包装垃圾,Packaging_Waste,垃圾,Trash,,RADIAL,0,0.0,https://www.fab.com/zh-cn/listings/ea1058b0-0a6e-4bff-a206-583c8f18b89f,EmranArts,https://www.fab.com/zh-cn/sellers/Emran%20Arts,CC BY-NC-SA 4.0,,
1835,a_TrashCandy1,"0.138,0.155,0.011",一张印有图案的紫黄色皱褶糖果包装纸,A crumpled purple and yellow candy wrapper with printed graphics,包装垃圾,Packaging_Waste,垃圾,Trash,,SORTED_ANISOTROPIC,0,0.0,"https://www.fab.com/listings/c3148cbb-4b57-4f09-a749-636bc0fe2da2

https://www.fab.com/listings/82e8f9af-843d-46c4-ae16-c6aee0ed4eaa

https://www.fab.com/listings/f3b2aa27-c8be-4987-b8a2-81adf0fe85a8

https://www.fab.com/listings/b5603e44-e1b0-4346-9c3d-04887aa9f87d",SilverTm,https://www.fab.com/zh-cn/sellers/SilverTm,CC BY-NC-SA 4.0,,
1836,a_TrashCandy2,"0.127,0.111,0.030",撕开的棕色包装纸和白底棕纹巧克力锡纸,Torn brown wrapper with white and brown patterned chocolate foil,包装垃圾,Packaging_Waste,垃圾,Trash,,SORTED_ANISOTROPIC,0,0.0,"https://www.fab.com/listings/c3148cbb-4b57-4f09-a749-636bc0fe2da2

https://www.fab.com/listings/82e8f9af-843d-46c4-ae16-c6aee0ed4eaa

https://www.fab.com/listings/f3b2aa27-c8be-4987-b8a2-81adf0fe85a8

https://www.fab.com/listings/b5603e44-e1b0-4346-9c3d-04887aa9f87d",SilverTm,https://www.fab.com/zh-cn/sellers/SilverTm,CC BY-NC-SA 4.0,,
